"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposażenie","Informacje.dodatkowe","miasto","data","Rok.budowy","Materiał.budynku"
"1:1","457 250 zł","36,58 m²","pełna własność","2 ","do zamieszkania","4/4","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","kamienica","drewniane","nie","telewizja kablowa, internet","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","Gdansk","19.12.2022",NA,NA
"1:2","746 000 zł","31,31 m²","pełna własność","1 ","do zamieszkania","3/5","balkon","270 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","Gdansk","19.12.2022","2020",NA
"1:3","640 000 zł","36,7 m²","pełna własność","2 ","do wykończenia","4/6","balkon","450 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon",NA,"pom. użytkowe","Gdansk","19.12.2022","2021","beton"
"1:4","380 000 zł","35 m²","pełna własność","2 ","do zamieszkania","2/4","balkon","300 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ",NA,"plastikowe","nie",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"Gdansk","19.12.2022","2016",NA
"1:5","482 775 zł","36 m²","pełna własność","2 ","do wykończenia","1","balkon","Zapytaj","garaż/miejsce parkingowe","Zapytaj","gazowe","pierwotny","biuro nieruchomości ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,NA,"Gdansk","19.12.2022","2022",NA
"1:6","393 518 zł","27,43 m²","pełna własność","1 ","do wykończenia","parter","taras","Zapytaj","garaż/miejsce parkingowe","Zapytaj","gazowe","pierwotny","biuro nieruchomości ","apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,"piwnica","Gdansk","19.12.2022","2022",NA
"1:7","Zapytaj o cenę","30,03 m²","pełna własność","1 ","do wykończenia","2/4","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:8","Zapytaj o cenę","37,07 m²","pełna własność","1 ","do wykończenia","parter/4","ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:9","Zapytaj o cenę","32,99 m²","pełna własność","1 ","do wykończenia","> 10/17","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
"1:10","Zapytaj o cenę","28,37 m²","pełna własność","1 ","do wykończenia","parter/4","taras, ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gdansk","19.12.2022",NA,NA
