"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposażenie","miasto","data","Informacje.dodatkowe","Dostępne.od","Materiał.budynku"
"1:1","660 000 zł","27,45 m²","pełna własność","1 ","do zamieszkania","3/10","balkon","Zapytaj","Zapytaj","tak","miejskie","wtórny","biuro nieruchomości ","2022","apartamentowiec","aluminiowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Krakow","19.12.2022",NA,NA,NA
"1:2","711 000 zł","33,11 m²","pełna własność","1 ","Zapytaj","3/5","Zapytaj","300 zł","Zapytaj","Zapytaj","Zapytaj","pierwotny","prywatny","2022",NA,NA,"tak","telewizja kablowa, internet",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Krakow","19.12.2022",NA,NA,NA
"1:3","415 000 zł","30 m²","pełna własność","2 ","do zamieszkania","1/3","balkon","287 zł","garaż/miejsce parkingowe","Zapytaj","gazowe","wtórny","prywatny","2022","blok","plastikowe","nie","telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Krakow","19.12.2022","piwnica, pom. użytkowe",NA,NA
"1:4","499 000 zł","26,35 m²","pełna własność","1 ","Zapytaj","3/3","balkon, ogródek","Zapytaj","Zapytaj","Film","Zapytaj","wtórny","biuro nieruchomości ","2022","apartamentowiec",NA,"tak",NA,NA,NA,"Krakow","19.12.2022",NA,"2022-10-17",NA
"1:5","419 900 zł","27,11 m²","Zapytaj","1 ","Zapytaj","4/4","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ",NA,"kamienica",NA,"nie",NA,NA,NA,"Krakow","19.12.2022",NA,"2022-10-24",NA
"1:6","410 000 zł","30,57 m²","pełna własność","1 ","do zamieszkania","5/10","balkon","350 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","2006","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","meble","Krakow","19.12.2022",NA,NA,"pustak"
"1:7","429 000 zł","34,57 m²","spółdzielcze wł. z KW","2 ","do wykończenia","parter/7","balkon, taras","300 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","pierwotny","prywatny","2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",NA,"Krakow","19.12.2022","pom. użytkowe",NA,"żelbet"
"1:8","487 000 zł","37 m²","pełna własność","2 ","do zamieszkania","2","Zapytaj","350 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet, telefon",NA,"piekarnik, pralka","Krakow","19.12.2022","piwnica",NA,NA
"1:9","425 000 zł","37 m²","pełna własność","2 ","Zapytaj","2/5","ogródek, taras","300 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","biuro nieruchomości ","2022","apartamentowiec","plastikowe","tak",NA,"monitoring / ochrona",NA,"Krakow","19.12.2022",NA,NA,NA
"1:10","490 000 zł","32,69 m²","pełna własność","2 ","do wykończenia","1/4","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Krakow","19.12.2022",NA,NA,NA
