"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","miasto","data","Wyposażenie","Informacje.dodatkowe","Materiał.budynku","Dostępne.od"
"1:1","354 900 zł","37,29 m²","pełna własność","2 ","do wykończenia","parter/6","ogródek","Zapytaj","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny","2023","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","Lodz","19.12.2022",NA,NA,NA,NA
"1:2","330 000 zł","36,74 m²","pełna własność","2 ","do zamieszkania","2/4","Zapytaj","295 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,"drzwi / okna antywłamaniowe, domofon / wideofon","Lodz","19.12.2022","zmywarka, lodówka, piekarnik, pralka","piwnica, oddzielna kuchnia",NA,NA
"1:3","317 000 zł","30,25 m²","pełna własność","2 ","do wykończenia","5/6","balkon","300 zł","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny","2023","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","Lodz","19.12.2022",NA,NA,NA,NA
"1:4","274 292 zł","29,18 m²","pełna własność","1 ","do wykończenia","3/4","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:5","262 620 zł","29,18 m²","pełna własność","1 ","do wykończenia","1/4","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:6","188 700 zł","18,32 m²","Zapytaj","1 ","Zapytaj","4","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","pierwotny","deweloper","2023","blok",NA,"nie",NA,"teren zamknięty, domofon / wideofon","Lodz","19.12.2022",NA,NA,NA,NA
"1:7","145 000 zł","12,12 m²","pełna własność","1 ","do zamieszkania","2/3","Zapytaj","99 zł","Zapytaj","Film","inne","wtórny","prywatny","1910","kamienica","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywłamaniowe","Lodz","19.12.2022",NA,NA,"cegła",NA
"1:8","Zapytaj o cenę","27,05 m²","pełna własność","1 ","do wykończenia","5/13","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:9","Zapytaj o cenę","35,24 m²","pełna własność","2 ","do wykończenia","3/5","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:10","Zapytaj o cenę","34,48 m²","pełna własność","1 ","do wykończenia","1/5","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:11","235 000 zł","36,5 m²","spółdzielcze wł. z KW","2 ","do zamieszkania","1/4","Zapytaj","400 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","biuro nieruchomości ","1974","blok","plastikowe","nie","telewizja kablowa, internet",NA,"Lodz","19.12.2022",NA,"pom. użytkowe","wielka płyta",NA
"1:12","240 570 zł","26,73 m²","pełna własność","1 ","do wykończenia","parter/2","taras, ogródek","Zapytaj","Zapytaj","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:13","267 498 zł","34,74 m²","pełna własność","1 ","do wykończenia","parter/4","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:14","305 000 zł","38 m²","spółdzielcze własnościowe","2 ","do zamieszkania","2/4","Zapytaj","300 zł","Zapytaj","tak","miejskie","wtórny","prywatny",NA,NA,"plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","Lodz","19.12.2022",NA,"piwnica, oddzielna kuchnia",NA,NA
"1:15","229 500 zł","27 m²","spółdzielcze własnościowe","1 ","do zamieszkania","1/4","balkon","299 zł","garaż/miejsce parkingowe","tak","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","Lodz","19.12.2022","lodówka, piekarnik, pralka","piwnica, oddzielna kuchnia","wielka płyta",NA
"1:16","219 000 zł","34,41 m²","spółdzielcze wł. z KW","1 ","do remontu","7/11","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"blok","drewniane","tak",NA,NA,"Lodz","19.12.2022",NA,"piwnica, oddzielna kuchnia",NA,NA
"1:17","243 000 zł","36 m²","pełna własność","2 ","do remontu","1/4","balkon","338 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1975","blok","plastikowe","nie",NA,"domofon / wideofon","Lodz","19.12.2022",NA,"piwnica","cegła",NA
"1:18","Zapytaj o cenę","37,26 m²","pełna własność","2 ","do wykończenia","parter/5","taras, ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:19","240 000 zł","36,85 m²","spółdzielcze własnościowe","2 ","do zamieszkania","3/4","balkon","540 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","1980","blok","plastikowe","nie","telewizja kablowa, internet, telefon",NA,"Lodz","19.12.2022",NA,"piwnica, pom. użytkowe","wielka płyta","2023-01-01"
"1:20","309 000 zł","34,4 m²","pełna własność","2 ","do zamieszkania","4/4","balkon","320 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,"domofon / wideofon","Lodz","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","wielka płyta",NA
"1:21","Zapytaj o cenę","30,32 m²","pełna własność","1 ","do wykończenia","3/4","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:22","Zapytaj o cenę","35,7 m²","pełna własność","1 ","do wykończenia","1/3","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:23","205 000 zł","28,96 m²","pełna własność","1 ","do zamieszkania","1/4","balkon","350 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","1965","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","Lodz","19.12.2022","lodówka, meble, kuchenka, pralka","piwnica","cegła",NA
"1:24","Zapytaj o cenę","28,3 m²","pełna własność","1 ","do wykończenia","3/10","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:25","262 900 zł","26,29 m²","pełna własność","1 ","do wykończenia","parter/5","taras","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:26","289 000 zł","33 m²","pełna własność","2 ","do zamieszkania","> 10/11","Zapytaj","236 zł","Zapytaj","tak","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,NA,"Lodz","19.12.2022","zmywarka, lodówka, piekarnik, kuchenka","piwnica",NA,NA
"1:27","305 000 zł","36,07 m²","pełna własność","2 ","Zapytaj","1/4","balkon","400 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet",NA,"Lodz","19.12.2022","meble, piekarnik, kuchenka","piwnica",NA,NA
"1:28","246 000 zł","28,09 m²","pełna własność","2 ","do zamieszkania","2/3","Zapytaj","400 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny",NA,"kamienica","plastikowe","nie","telewizja kablowa, internet","teren zamknięty, domofon / wideofon","Lodz","19.12.2022","meble",NA,"cegła",NA
"1:29","229 000 zł","38 m²","spółdzielcze własnościowe","2 ","do remontu","6/10","balkon","512 zł","Zapytaj","Film","miejskie","wtórny","prywatny","1973","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","Lodz","19.12.2022",NA,"piwnica, oddzielna kuchnia, pom. użytkowe","wielka płyta",NA
"1:30","320 000 zł","32,52 m²","pełna własność","1 ","do zamieszkania","9/11","balkon","430 zł","Zapytaj","tak","miejskie","wtórny","biuro nieruchomości ","1980","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","Lodz","19.12.2022","lodówka, meble","piwnica","wielka płyta",NA
"1:31","309 995 zł","36,47 m²","pełna własność","1 ","do remontu","1/3","balkon","400 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1940","blok","drewniane","nie","telewizja kablowa, internet, telefon","domofon / wideofon","Lodz","19.12.2022","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","cegła",NA
"1:32","309 410 zł","32,86 m²","pełna własność","1 ","do wykończenia","10","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","pierwotny","biuro nieruchomości ",NA,"apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","Lodz","19.12.2022",NA,NA,NA,NA
"1:33","310 000 zł","36,64 m²","pełna własność","2 ","do zamieszkania","3/4","balkon","350 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,"domofon / wideofon","Lodz","19.12.2022",NA,"piwnica",NA,NA
"1:34","294 800 zł","37,1 m²","pełna własność","2 ","do zamieszkania","3/4","balkon","390 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon","Lodz","19.12.2022","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","wielka płyta",NA
"1:35","264 000 zł","36,79 m²","pełna własność","2 ","Zapytaj","parter/4","Zapytaj","380 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","1970","blok","plastikowe","nie","telewizja kablowa","domofon / wideofon","Lodz","19.12.2022","meble, piekarnik, kuchenka","piwnica, oddzielna kuchnia",NA,NA
"1:36","242 112 zł","25,22 m²","pełna własność","1 ","do wykończenia","Zapytaj","balkon","Zapytaj","Zapytaj","tak","miejskie","pierwotny","biuro nieruchomości ",NA,"apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","Lodz","19.12.2022",NA,NA,"silikat",NA
"1:37","284 188 zł","32 m²","pełna własność","2 ","do wykończenia","2/10","balkon","280 zł","Zapytaj","tak","miejskie","pierwotny","biuro nieruchomości ",NA,"apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","Lodz","19.12.2022",NA,NA,"silikat",NA
"1:38","292 490 zł","30,31 m²","pełna własność","2 ","do wykończenia","1/4","balkon","Zapytaj","Zapytaj","tak","miejskie","pierwotny","biuro nieruchomości ",NA,"apartamentowiec","plastikowe","tak",NA,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","Lodz","19.12.2022",NA,NA,"pustak",NA
"1:39","Zapytaj o cenę","32,39 m²","pełna własność","1 ","do wykończenia","parter/6","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Lodz","19.12.2022",NA,NA,NA,NA
"1:40","229 000 zł","35,05 m²","pełna własność","1 ","do zamieszkania","parter","ogródek","250 zł","garaż/miejsce parkingowe","Zapytaj","inne","wtórny","prywatny",NA,"kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","Lodz","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka","oddzielna kuchnia, dwupoziomowe","cegła",NA
"1:41","259 000 zł","30,94 m²","pełna własność","1 ","do zamieszkania","7/11","Zapytaj","Zapytaj","Zapytaj","tak","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","internet","domofon / wideofon","Lodz","19.12.2022","lodówka, meble, kuchenka, pralka","piwnica, oddzielna kuchnia","wielka płyta",NA
"1:42","215 000 zł","37,68 m²","spółdzielcze własnościowe","2 ","do remontu","parter/4","balkon","310 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ","1969","blok","plastikowe","nie",NA,NA,"Lodz","19.12.2022",NA,"oddzielna kuchnia",NA,NA
