"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Informacje.dodatkowe","miasto","data","Rok.budowy","Wyposażenie","Materiał.budynku","Dostępne.od"
"1:1","299 997 zł","33 m²","pełna własność","2 ","do zamieszkania","2/3","Zapytaj","190,05 zł","Zapytaj","tak","miejskie","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon","piwnica","Lublin","19.12.2022",NA,NA,NA,NA
"1:2","360 000 zł","36,7 m²","pełna własność","2 ","do zamieszkania","4/4","balkon","250 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","internet",NA,"piwnica","Lublin","19.12.2022","1964","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","cegła",NA
"1:3","322 000 zł","35,51 m²","pełna własność","2 ","do zamieszkania","parter/2","Zapytaj","350 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","blok","drewniane","nie",NA,NA,"piwnica, oddzielna kuchnia","Lublin","19.12.2022","1955",NA,"cegła",NA
"1:4","340 000 zł","36,6 m²","pełna własność","2 ","do zamieszkania","3/4","Zapytaj","300 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","blok","plastikowe","nie","telewizja kablowa, internet, telefon","system alarmowy, domofon / wideofon, monitoring / ochrona","piwnica","Lublin","19.12.2022","1970","lodówka, meble, piekarnik, kuchenka, pralka","wielka płyta","2022-11-04"
"1:5","280 000 zł","38 m²","pełna własność","2 ","do zamieszkania","1/2","balkon","Zapytaj","Zapytaj","Zapytaj","elektryczne","wtórny","biuro nieruchomości ","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe","piwnica","Lublin","19.12.2022","1914","lodówka, meble, kuchenka, pralka",NA,NA
"1:6","290 000 zł","36,27 m²","pełna własność","2 ","do zamieszkania","1/2","Zapytaj","Zapytaj","Zapytaj","Zapytaj","gazowe","wtórny","biuro nieruchomości ","kamienica","plastikowe","nie",NA,NA,NA,"Lublin","19.12.2022",NA,"meble",NA,NA
"1:7","322 049 zł","35,39 m²","pełna własność","2 ","do wykończenia","1/7","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","blok","plastikowe","tak","telewizja kablowa","domofon / wideofon","piwnica","Lublin","19.12.2022","2022",NA,NA,NA
"1:8","325 000 zł","36,87 m²","spółdzielcze wł. z KW","2 ","do zamieszkania","5/10","balkon","500 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","blok","plastikowe","tak",NA,NA,"piwnica","Lublin","19.12.2022","1978",NA,"wielka płyta",NA
"1:9","287 370 zł","31,93 m²","pełna własność","1 ","Zapytaj","1/6","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Zapytaj","miejskie","pierwotny","biuro nieruchomości ","blok","plastikowe","nie",NA,NA,"piwnica","Lublin","19.12.2022","2023",NA,NA,NA
"1:10","289 997 zł","33,74 m²","pełna własność","2 ","do zamieszkania","2/3","Zapytaj","Zapytaj","Zapytaj","Zapytaj","kotłownia","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","piwnica","Lublin","19.12.2022",NA,NA,NA,NA
