"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Wyposażenie","Materiał.budynku","miasto","data","Zabezpieczenia","Informacje.dodatkowe","Dostępne.od"
"1:1","322 000 zł","33,67 m²","pełna własność","2 ","do zamieszkania","2/3","balkon","Zapytaj","garaż/miejsce parkingowe","Film","gazowe","pierwotny","prywatny","2022","blok","plastikowe","nie","internet, telefon","zmywarka, lodówka, meble, piekarnik, kuchenka","silikat","Poznan","19.12.2022",NA,NA,NA
"1:2","285 000 zł","26,5 m²","pełna własność","1 ","do zamieszkania","4/4","Zapytaj","300 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","wielka płyta","Poznan","19.12.2022","domofon / wideofon","piwnica",NA
"1:3","277 200 zł","33,67 m²","pełna własność","2 ","do wykończenia","2/3","balkon","Zapytaj","garaż/miejsce parkingowe","Film","gazowe","pierwotny","prywatny","2022","blok","plastikowe","nie","internet, telefon",NA,"silikat","Poznan","19.12.2022","domofon / wideofon",NA,NA
"1:4","382 826 zł","34,52 m²","pełna własność","2 ","do wykończenia","5/5","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poznan","19.12.2022",NA,NA,NA
"1:5","499 000 zł","34,51 m²","pełna własność","2 ","do wykończenia","1/5","balkon","1 zł","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny","2023","apartamentowiec","plastikowe","tak","telewizja kablowa, internet",NA,"beton komórkowy","Poznan","19.12.2022","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",NA,"2020-05-25"
"1:6","Zapytaj o cenę","36,47 m²","pełna własność","1 ","do wykończenia","3/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poznan","19.12.2022",NA,NA,NA
"1:7","369 000 zł","38 m²","Zapytaj","2 ","do zamieszkania","5/10","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"blok",NA,"tak","telewizja kablowa, internet, telefon","meble, piekarnik, kuchenka",NA,"Poznan","19.12.2022","drzwi / okna antywłamaniowe, domofon / wideofon","piwnica",NA
"1:8","348 964 zł","33,88 m²","pełna własność","1 ","Zapytaj","1/4","balkon","Zapytaj","garaż/miejsce parkingowe","Zapytaj","miejskie","pierwotny","deweloper","2023","blok",NA,"tak","telewizja kablowa, internet",NA,NA,"Poznan","19.12.2022","domofon / wideofon","pom. użytkowe","2023-09-30"
"1:9","Zapytaj o cenę","29,87 m²","pełna własność","2 ","do wykończenia","parter/5","taras, ogródek","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poznan","19.12.2022",NA,NA,NA
"1:10","348 551 zł","30,69 m²","pełna własność","1 ","do wykończenia","9/17","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poznan","19.12.2022",NA,NA,NA
