"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposażenie","Informacje.dodatkowe","Materiał.budynku","miasto","data","Dostępne.od"
"1:1","337 000 zł","37,83 m²","pełna własność","2 ","do zamieszkania","2/4","balkon","365 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1975","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica","cegła","Szczecin","19.12.2022",NA
"1:2","555 000 zł","25,24 m²","pełna własność","1 ","do zamieszkania","> 10/28","balkon","380 zł","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny","2022","apartamentowiec","aluminiowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"inne","Szczecin","19.12.2022",NA
"1:3","510 000 zł","28,4 m²","pełna własność","1 ","do zamieszkania","3/26","balkon","425 zł","Zapytaj","Zapytaj","inne","wtórny","prywatny","2022","apartamentowiec","aluminiowe","tak","telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"inne","Szczecin","19.12.2022",NA
"1:4","359 000 zł","37 m²","spółdzielcze własnościowe","1 ","do zamieszkania","2","balkon","400 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","internet","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,NA,"Szczecin","19.12.2022",NA
"1:5","280 000 zł","34,5 m²","pełna własność","1 ","do zamieszkania","4/4","Zapytaj","250 zł","Zapytaj","Wirtualny spacer","inne","wtórny","biuro nieruchomości ","1900","kamienica",NA,"nie","internet",NA,NA,"oddzielna kuchnia","cegła","Szczecin","19.12.2022",NA
"1:6","295 000 zł","29,25 m²","pełna własność","2 ","do zamieszkania","2/4","Zapytaj","430 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","meble, piekarnik, kuchenka",NA,"wielka płyta","Szczecin","19.12.2022",NA
"1:7","179 000 zł","19,5 m²","spółdzielcze własnościowe","1 ","do zamieszkania","parter/2","Zapytaj","440 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"blok","plastikowe","nie","internet","domofon / wideofon","lodówka, meble, kuchenka, pralka",NA,"cegła","Szczecin","19.12.2022","2022-11-17"
"1:8","249 000 zł","27,5 m²","pełna własność","1 ","do zamieszkania","4/4","Zapytaj","570 zł","Zapytaj","tak","miejskie","wtórny","biuro nieruchomości ",NA,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","pustak","Szczecin","19.12.2022",NA
"1:9","249 000 zł","31,5 m²","pełna własność","2 ","do remontu","5/12","balkon","350 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","2000","blok",NA,"tak",NA,NA,"meble","piwnica, oddzielna kuchnia, pom. użytkowe","wielka płyta","Szczecin","19.12.2022",NA
"1:10","299 000 zł","25,04 m²","pełna własność","1 ","do zamieszkania","4/4","Zapytaj","200 zł","Zapytaj","Zapytaj","gazowe","wtórny","biuro nieruchomości ","1920","kamienica","plastikowe","nie",NA,NA,NA,NA,"cegła","Szczecin","19.12.2022",NA
