"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Dostępne.od","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposażenie","Informacje.dodatkowe","miasto","data","Materiał.budynku"
"1:1","549 000 zł","37,1 m²","pełna własność","2 ","do zamieszkania","7/10","Zapytaj","474 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","2022-10-25","1968","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica","Warszawa","19.12.2022",NA
"1:2","333 515 zł","18,7 m²","Zapytaj","1 ","do wykończenia","8/8","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny",NA,"2022","apartamentowiec","plastikowe","tak",NA,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,NA,"Warszawa","19.12.2022","beton komórkowy"
"1:3","469 000 zł","38 m²","pełna własność","2 ","Zapytaj","parter/4","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"1972","blok","plastikowe","nie","telewizja kablowa","drzwi / okna antywłamaniowe, domofon / wideofon","piekarnik, kuchenka","piwnica, oddzielna kuchnia","Warszawa","19.12.2022","wielka płyta"
"1:4","933 900 zł","33 m²","Zapytaj","2 ","Zapytaj","8/22","Zapytaj","Zapytaj","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ",NA,NA,NA,NA,"nie",NA,NA,NA,NA,"Warszawa","19.12.2022",NA
"1:5","449 990 zł","31 m²","Zapytaj","1 ","do zamieszkania","1/3","balkon","350 zł","garaż/miejsce parkingowe","tak","miejskie","wtórny","prywatny",NA,"2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","Warszawa","19.12.2022","beton"
"1:6","379 000 zł","21,01 m²","pełna własność","1 ","do zamieszkania","4/10","balkon","263 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"2020","blok",NA,"tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"Warszawa","19.12.2022","beton"
"1:7","498 000 zł","27 m²","pełna własność","2 ","do zamieszkania","> 10/15","Zapytaj","Zapytaj","Zapytaj","FilmWirtualny spacer","Zapytaj","wtórny","biuro nieruchomości ",NA,NA,NA,"plastikowe","nie",NA,NA,"lodówka, meble, pralka",NA,"Warszawa","19.12.2022",NA
"1:8","439 990 zł","28 m²","Zapytaj","1 ","do zamieszkania","1/3","balkon","350 zł","garaż/miejsce parkingowe","tak","miejskie","wtórny","prywatny",NA,"2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica","Warszawa","19.12.2022","beton"
"1:9","450 000 zł","26,6 m²","pełna własność","1 ","do zamieszkania","8/10","Zapytaj","360 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,NA,"blok","plastikowe","nie",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"Warszawa","19.12.2022",NA
"1:10","561 804 zł","30,92 m²","pełna własność","1 ","do wykończenia","5/5","taras","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warszawa","19.12.2022",NA
