"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Zabezpieczenia","miasto","data","Wyposażenie","Informacje.dodatkowe","Materiał.budynku","Dostępne.od","Media"
"1:1","388 927 zł","34 m²","pełna własność","2 ","do wykończenia","2/2","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny","2022","apartamentowiec","plastikowe","tak","monitoring / ochrona","Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:2","404 700 zł","33,17 m²","spółdzielcze własnościowe","3 ","do zamieszkania","4/4","Zapytaj","200 zł","Zapytaj","tak","miejskie","wtórny","prywatny","1960","blok","plastikowe","tak","teren zamknięty, domofon / wideofon","Wroclaw","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica, pom. użytkowe",NA,NA,NA
"1:3","425 000 zł","35,7 m²","pełna własność","2 ","do zamieszkania","8","Zapytaj","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","domofon / wideofon","Wroclaw","19.12.2022","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","wielka płyta",NA,NA
"1:4","Zapytaj o cenę","38 m²","pełna własność","1 ","do wykończenia","2/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:5","379 900 zł","35,74 m²","pełna własność","2 ","do wykończenia","1/2","balkon","300 zł","Zapytaj","Zapytaj","Zapytaj","pierwotny","biuro nieruchomości ","2022",NA,"plastikowe","nie",NA,"Wroclaw","19.12.2022",NA,"pom. użytkowe",NA,"2022-12-19",NA
"1:6","360 000 zł","21,48 m²","pełna własność","2 ","Zapytaj","1/6","Zapytaj","200 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","2016","apartamentowiec","plastikowe","tak","drzwi / okna antywłamaniowe, domofon / wideofon","Wroclaw","19.12.2022",NA,NA,NA,NA,"telewizja kablowa, internet"
"1:7","369 898 zł","28,15 m²","pełna własność","1 ","do wykończenia","2/12","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:8","410 000 zł","35 m²","pełna własność","2 ","Zapytaj","7/11","balkon","Zapytaj","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ",NA,"blok",NA,"tak",NA,"Wroclaw","19.12.2022",NA,"piwnica, oddzielna kuchnia, pom. użytkowe","wielka płyta",NA,NA
"1:9","379 900 zł","35,75 m²","pełna własność","2 ","do wykończenia","1/2","balkon","300 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","biuro nieruchomości ","2022",NA,"plastikowe","nie",NA,"Wroclaw","19.12.2022",NA,"pom. użytkowe",NA,"2022-12-19",NA
"1:10","Zapytaj o cenę","38 m²","pełna własność","1 ","do wykończenia","3/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:11","320 000 zł","25,03 m²","spółdzielcze własnościowe","1 ","do zamieszkania","2/4","balkon","330 zł","Zapytaj","Zapytaj","miejskie","wtórny","biuro nieruchomości ","1965","blok","plastikowe","nie","domofon / wideofon","Wroclaw","19.12.2022",NA,"piwnica","cegła",NA,NA
"1:12","340 849 zł","27,51 m²","pełna własność","1 ","do wykończenia","2/2","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:13","599 000 zł","37 m²","pełna własność","2 ","do zamieszkania","6/13","balkon","300 zł","Zapytaj","Zapytaj","gazowe","wtórny","prywatny","2017","apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","Wroclaw","19.12.2022","lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,NA,NA,"telewizja kablowa, internet"
"1:14","Zapytaj o cenę","31,37 m²","pełna własność","1 ","do wykończenia","4/6","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,"Wroclaw","19.12.2022",NA,NA,NA,NA,NA
"1:15","379 000 zł","36,26 m²","spółdzielcze własnościowe","2 ","do zamieszkania","4/4","balkon","435 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1966","blok","drewniane","nie","domofon / wideofon","Wroclaw","19.12.2022","zmywarka, lodówka, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","wielka płyta",NA,"telewizja kablowa, internet"
"1:16","325 000 zł","24 m²","pełna własność","1 ","do zamieszkania","parter/5","Zapytaj","200 zł","Zapytaj","Zapytaj","elektryczne","wtórny","prywatny","1900","kamienica","plastikowe","nie","domofon / wideofon","Wroclaw","19.12.2022","lodówka, meble, kuchenka, pralka","piwnica","cegła",NA,NA
"1:17","299 000 zł","32,71 m²","pełna własność","1 ","do zamieszkania","parter/3","Zapytaj","220 zł","Zapytaj","tak","miejskie","wtórny","prywatny","2001","blok","plastikowe","nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","Wroclaw","19.12.2022","lodówka, meble",NA,"pustak",NA,"telewizja kablowa, internet, telefon"
